Company,Ticker,Industry Bucket,Category,Sub-Category
Pampa Energía S.A.,PAM,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Planet Green Holdings Corp.,PLAG,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"RCM Technologies, Inc.",RCMT,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Seaboard Corporation,SEB,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Star Equity Holdings, Inc.",STRR,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"TETRA Technologies, Inc.",TTI,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Tejon Ranch Co.,TRC,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
"Valmont Industries, Inc.",VMI,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Acco Group Holdings Limited,ACCL,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Aeries Technology, Inc",AERT,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Booz Allen Hamilton Holding Corporation,BAH,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"CRA International, Inc.",CRAI,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Diginex Limited,DGNX,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Enigmatig Limited,EGG,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Equifax Inc.,EFX,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Etoiles Capital Group Co., Ltd",EFTY,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"FTI Consulting, Inc.",FCN,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Forrester Research, Inc.",FORR,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Greenpro Capital Corp.,GRNQ,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Hang Feng Technology Innovation Co., Ltd.",FOFO,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Huron Consulting Group Inc.,HURN,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"ICF International, Inc.",ICFI,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Intelligent Group Limited,INTJ,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Resources Connection, Inc.",RGP,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Robot Consulting Co., Ltd.",LAWR,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Roma Green Finance Limited,ROMA,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
SBC Medical Group Holdings Incorporated,SBC,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
VCI Global Limited,VCIG,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"Verisk Analytics, Inc.",VRSK,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
Zenta Group Company Limited,ZTG,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
"rYojbaba Co., Ltd.",RYOJ,"Industrials : Professional, Security & Workforce Services",Industrials,Professional & Workforce Services
ADS-TEC Energy PLC,ADSE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Acuity Inc.,AYI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Advanced Energy Industries, Inc.",AEIS,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Amprius Technologies, Inc.",AMPX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Arxis, Inc.",ARXS,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Asia Pacific Wire & Cable Corporation Limited,APWC,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Atkore Inc.,ATKR,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Ballard Power Systems Inc.,BLDP,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Bloom Energy Corporation,BE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
CBAK Energy Technology Limited,CBAT,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
CCSC Technology International Holdings Limited,CCTG,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Dragonfly Energy Holdings Corp.,DFLI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
E-Power Inc.,EPOW,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"ESS Tech, Inc.",GWH,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Electrovaya Inc.,ELVA,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Elong Power Holding Limited,ELPW,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
EnerSys,ENS,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Energizer Holdings, Inc.",ENR,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Enovix Corporation,ENVX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Eos Energy Enterprises, Inc.",EOSE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Erayak Power Solution Group Inc.,RAYA,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Espey Mfg. & Electronics Corp.,ESP,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Expion360 Inc.,XPON,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Factorial Energy Inc.,FAC,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Flux Power Holdings, Inc.",FLUX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Forgent Power Solutions, Inc.",FPS,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"FuelCell Energy, Inc.",FCEL,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
GrafTech International Ltd.,EAF,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Hayward Holdings, Inc.",HAYW,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Hubbell Incorporated,HUBB,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Kimball Electronics, Inc.",KE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Lightbridge Corporation,LTBR,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Linkers Industries Limited,LNKS,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"NOMAD Power Solutions, Inc.",NMAD,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
NOVONIX Limited,NVX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
NeoVolta Inc.,NEOV,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Orion Energy Systems, Inc.",OESX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Pioneer Power Solutions, Inc.",PPSI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Plug Power Inc.,PLUG,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Polar Power, Inc.",POLA,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Powell Industries, Inc.",POWL,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Preformed Line Products Company,PLPC,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"RF Industries, Ltd.",RFIL,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
SKYX Platforms Corp.,SKYX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Solidion Technology, Inc.",STI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Stardust Power Inc.,SDST,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
T1 Energy Inc.,TE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Tecogen Inc.,TGEN,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Ultralife Corporation,ULBI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Vertiv Holdings Co,VRT,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"X-Energy, Inc.",XE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
nVent Electric plc,NVT,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
AECOM,ACM,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
APi Group Corporation,APG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Ameresco, Inc.",AMRC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Arcosa, Inc.",ACA,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Argan, Inc.",AGX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Blink Charging Co.,BLNK,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
